xml:id,country,settlement,repository,idno,altIdentifier 1,altIdentifier 2,name,head,history,adminInfo,note,catalog link,surrogate
CamTCC322,UK,Cambridge,Trinity College,B.14.38 (322),,,,,,,,https://mss-cat.trin.cam.ac.uk/Manuscript/B.14.38,https://mss-cat.trin.cam.ac.uk/Manuscript/B.14.38/UV
CamTCC323,UK,Cambridge,Trinity College,B.14.39 (323),,,,,,,,https://mss-cat.trin.cam.ac.uk/Manuscript/B.14.39-40,https://mss-cat.trin.cam.ac.uk/manuscripts/uv/view.php?n=B.14.39-40
CamTCC324,UK,Cambridge,Trinity College,B.14.40 (324),,,,,,Bound with B.14.39 (323),,https://mss-cat.trin.cam.ac.uk/Manuscript/B.14.39-40,https://mss-cat.trin.cam.ac.uk/manuscripts/uv/view.php?n=B.14.39-40
CamTCC335,UK,Cambridge,Trinity College,B.14.52 (335),,,,,,,,https://mss-cat.trin.cam.ac.uk/Manuscript/B.14.52 ,https://mss-cat.trin.cam.ac.uk/Manuscript/B.14.52/UV
CamTCC353,UK,Cambridge,Trinity College,B.15.17 (353),,,,,,,,https://mss-cat.trin.cam.ac.uk/Manuscript/B.15.17,https://mss-cat.trin.cam.ac.uk/Manuscript/B.15.17/UV
CamTCC365,UK,Cambridge,Trinity College,B.15.30 (365),,,,,,,,https://mss-cat.trin.cam.ac.uk/Manuscript/B.15.30,https://mss-cat.trin.cam.ac.uk/Manuscript/B.15.30/UV
CamTCC366,UK,Cambridge,Trinity College,B.15.31 (366),,,,,,,,https://mss-cat.trin.cam.ac.uk/Manuscript/B.15.31,https://mss-cat.trin.cam.ac.uk/Manuscript/B.15.31/UV
CamTCC367,UK,Cambridge,Trinity College,B.15.32 (367),,,,,,,,https://mss-cat.trin.cam.ac.uk/Manuscript/B.15.32,https://mss-cat.trin.cam.ac.uk/Manuscript/B.15.32/UV
CamTCC370,UK,Cambridge,Trinity College,B.15.35 (370),,,,,,,,https://mss-cat.trin.cam.ac.uk/Manuscript/B.15.35,https://mss-cat.trin.cam.ac.uk/Manuscript/B.15.35/UV
CamTCC181,UK,Cambridge,Trinity College,B.15.39 (374),,,,,,,,https://mss-cat.trin.cam.ac.uk/Manuscript/B.15.39 ,
CamTCC376,UK,Cambridge,Trinity College,B.15.40 (376),,,,,,,,https://mss-cat.trin.cam.ac.uk/Manuscript/B.15.40,https://mss-cat.trin.cam.ac.uk/Manuscript/B.15.40/UV#?c=0&m=0&s=0&cv=0
CamTCC394,UK,Cambridge,Trinity College,B.16.31 (394),,,,,,,,https://mss-cat.trin.cam.ac.uk/Manuscript/B.16.31,https://mss-cat.trin.cam.ac.uk/Manuscript/B.16.31/UV
CamTCCB1631,UK,Cambridge,Trinity College,B.16.31 (394),,,,,,,,https://mss-cat.trin.cam.ac.uk/Manuscript/B.16.31,https://mss-cat.trin.cam.ac.uk/Manuscript/B.16.31/UV
CamTCCB1641,UK,Cambridge,Trinity College,B.16.41 (402),,,,,,,,https://mss-cat.trin.cam.ac.uk/Manuscript/B.16.41,https://mss-cat.trin.cam.ac.uk/Manuscript/B.16.41/UV#?c=0&m=0&s=0&cv=0&r=0&xywh=-4749%2C-350%2C13419%2C6999
CamTCC61,UK,Cambridge,Trinity College,B.2.18 (61),,,,,,,,https://mss-cat.trin.cam.ac.uk/Manuscript/B.2.18,https://mss-cat.trin.cam.ac.uk/Manuscript/B.2.18/UV
CamTCC108,UK,Cambridge,Trinity College,B.3.29 (108),,,,,,,,https://mss-cat.trin.cam.ac.uk/Manuscript/B.3.29,https://mss-cat.trin.cam.ac.uk/Manuscript/B.3.29/UV
CamTCCParis1525,UK,Cambridge,Trinity College,L.12.36,,,,"Printed book: Michaelis Menoti Sermones Quadragesimales, Paris 1525",,,,https://lib-cat.trin.cam.ac.uk/Record/9650055f-5fe9-4638-acc0-040172fa29a9/Permalink?sid=22713357,
CamTCC1037,UK,Cambridge,Trinity College,O.1.13 (1037),,,,,,,,https://mss-cat.trin.cam.ac.uk/Manuscript/O.1.13,https://mss-cat.trin.cam.ac.uk/Manuscript/O.1.13/UV
CamTCC1041,UK,Cambridge,Trinity College,O.1.17 (1041),,,,,,,,https://mss-cat.trin.cam.ac.uk/Manuscript/O.1.17,https://mss-cat.trin.cam.ac.uk/Manuscript/O.1.17/UV
CamTCC1053,UK,Cambridge,Trinity College,O.1.29 (1053),,,,,,,,https://mss-cat.trin.cam.ac.uk/Manuscript/O.1.29,https://mss-cat.trin.cam.ac.uk/Manuscript/O.1.29/UV
CamTCC1081,UK,Cambridge,Trinity College,O.1.57(1081),,,,,,,,https://mss-cat.trin.cam.ac.uk/Manuscript/O.1.57,https://mss-cat.trin.cam.ac.uk/Manuscript/O.1.57/UV
CamTCC1473,UK,Cambridge,Trinity College,O.10.21 (1473),,,,,,,,https://mss-cat.trin.cam.ac.uk/Manuscript/O.10.21,https://mss-cat.trin.cam.ac.uk/Manuscript/O.10.21/UV
CamTCC1486,UK,Cambridge,Trinity College,O.10.34 (1486),,,,,,,,https://mss-cat.trin.cam.ac.uk/Manuscript/O.10.34,https://mss-cat.trin.cam.ac.uk/Manuscript/O.10.34/UV
CamTCCO1111,UK,Cambridge,Trinity College,O.11.11,,,,,,,,https://mss-cat.trin.cam.ac.uk/Manuscript/O.11.11,https://mss-cat.trin.cam.ac.uk/Manuscript/O.11.11/UV
CamTCC1105,UK,Cambridge,Trinity College,O.2.1 (1105),,,,,,,,https://mss-cat.trin.cam.ac.uk/Manuscript/O.2.1,https://mss-cat.trin.cam.ac.uk/Manuscript/O.2.1/UV
CamTCC1117,UK,Cambridge,Trinity College,O.2.13 (1117),,,,,,,,https://mss-cat.trin.cam.ac.uk/Manuscript/O.2.13,https://mss-cat.trin.cam.ac.uk/Manuscript/O.2.13/UV
CamTCC1119,UK,Cambridge,Trinity College,O.2.15 (1119),,,,,,,,https://mss-cat.trin.cam.ac.uk/Manuscript/O.2.15,https://mss-cat.trin.cam.ac.uk/Manuscript/O.2.15/UV
CamTCC1120,UK,Cambridge,Trinity College,O.2.16 (1120),,,,,,,,https://mss-cat.trin.cam.ac.uk/Manuscript/O.2.16,https://mss-cat.trin.cam.ac.uk/Manuscript/O.2.16/UV
CamTCC1137,UK,Cambridge,Trinity College,O.2.33 (1137),,,,,,,,https://mss-cat.trin.cam.ac.uk/Manuscript/O.2.33,https://mss-cat.trin.cam.ac.uk/Manuscript/O.2.33/UV
CamTCC1144,UK,Cambridge,Trinity College,O.2.40 (1144),,,,,,,,https://mss-cat.trin.cam.ac.uk/Manuscript/O.2.40,https://mss-cat.trin.cam.ac.uk/Manuscript/O.2.40/UV#?c=0&m=0&s=0&cv=0&r=0&xywh=-1658%2C-1%2C5553%2C2897
CamTCC1149,UK,Cambridge,Trinity College,O.2.45 (1149),,,,,,,,https://mss-cat.trin.cam.ac.uk/Manuscript/O.2.45,https://mss-cat.trin.cam.ac.uk/Manuscript/O.2.45/UV
CamTCC1109,UK,Cambridge,Trinity College,O.2.5 (1109),,,,,,,,https://mss-cat.trin.cam.ac.uk/Manuscript/O.2.5,https://mss-cat.trin.cam.ac.uk/Manuscript/O.2.5/UV
CamTCC1157,UK,Cambridge,Trinity College,O.2.53 (1157),,,,,,,,https://mss-cat.trin.cam.ac.uk/Manuscript/O.2.53,https://mss-cat.trin.cam.ac.uk/Manuscript/O.2.53/UV#?c=0&m=0&s=0&cv=0&r=0&xywh=-1922%2C-155%2C5919%2C3087
CamTCC1184,UK,Cambridge,Trinity College,O.3.12 (1184),,,,,,,,https://mss-cat.trin.cam.ac.uk/Manuscript/O.3.12,https://mss-cat.trin.cam.ac.uk/Manuscript/O.3.12/UV
CamTCC1174,UK,Cambridge,Trinity College,O.3.2 (1174),,,,,,,,https://mss-cat.trin.cam.ac.uk/Manuscript/O.3.2,
CamTCC1209,UK,Cambridge,Trinity College,O.3.37 (1209),,,,,,,,https://mss-cat.trin.cam.ac.uk/Manuscript/O.3.37,https://mss-cat.trin.cam.ac.uk/Manuscript/O.3.37/UV
CamTCC1212,UK,Cambridge,Trinity College,O.3.40 (1212),,,,,,,,https://mss-cat.trin.cam.ac.uk/Manuscript/O.3.40,https://mss-cat.trin.cam.ac.uk/Manuscript/O.3.40/UV#?c=0&m=0&s=0&cv=0
CamTCC1230,UK,Cambridge,Trinity College,O.3.58 (1230),,,,,,,,https://mss-cat.trin.cam.ac.uk/Manuscript/O.3.58,https://mss-cat.trin.cam.ac.uk/Manuscript/O.3.58/UV
CamTCC1269,UK,Cambridge,Trinity College,O.4.39 (1269),,,,,,,,https://mss-cat.trin.cam.ac.uk/Manuscript/O.4.39,https://mss-cat.trin.cam.ac.uk/Manuscript/O.4.39/UV
CamTCC1283,UK,Cambridge,Trinity College,O.5.2 (1283),,,,,,,,https://mss-cat.trin.cam.ac.uk/Manuscript/O.5.2,https://mss-cat.trin.cam.ac.uk/Manuscript/O.5.2/UV
CamTCC1312,UK,Cambridge,Trinity College,O.5.31 (1312),,,,,,,,https://mss-cat.trin.cam.ac.uk/Manuscript/O.5.31,https://mss-cat.trin.cam.ac.uk/Manuscript/O.5.31/UV
CamTCC1287,UK,Cambridge,Trinity College,O.5.6 (1287),,,,,,,,https://mss-cat.trin.cam.ac.uk/Manuscript/O.5.6,https://mss-cat.trin.cam.ac.uk/Manuscript/O.5.6/UV#?c=0&m=0&s=0&cv=0&r=0&xywh=-3395%2C-271%2C10373%2C5411
CamTCC1289,UK,Cambridge,Trinity College,O.5.8 (1289),,,,,,,,https://mss-cat.trin.cam.ac.uk/Manuscript/O.5.8,https://mss-cat.trin.cam.ac.uk/Manuscript/O.5.8/UV
CamTCC1359,UK,Cambridge,Trinity College,O.7.31 (1359),,,,,,,,https://mss-cat.trin.cam.ac.uk/Manuscript/O.7.31,https://mss-cat.trin.cam.ac.uk/Manuscript/O.7.31/UV
CamTCC1413,UK,Cambridge,Trinity College,O.9.1 (1413),,,,,,,,https://mss-cat.trin.cam.ac.uk/Manuscript/O.9.1,https://mss-cat.trin.cam.ac.uk/Manuscript/O.9.1/UV
CamTCC1434,UK,Cambridge,Trinity College,O.9.22 (1434),,,,,,,,https://mss-cat.trin.cam.ac.uk/Manuscript/O.9.22,https://mss-cat.trin.cam.ac.uk/Manuscript/O.9.22/UV
CamTCC1438,UK,Cambridge,Trinity College,O.9.26 (1438),,,,,,,,https://mss-cat.trin.cam.ac.uk/Manuscript/O.9.26,https://mss-cat.trin.cam.ac.uk/Manuscript/O.9.26/UV
CamTCC1440,UK,Cambridge,Trinity College,O.9.28 (1440),,,,,,,,https://mss-cat.trin.cam.ac.uk/Manuscript/O.9.28,https://mss-cat.trin.cam.ac.uk/Manuscript/O.9.28/UV
CamTCC1450,UK,Cambridge,Trinity College,O.9.38 (1450),,,,,,,,https://mss-cat.trin.cam.ac.uk/Manuscript/O.9.38,https://mss-cat.trin.cam.ac.uk/Manuscript/O.9.38/UV
CamTCC1421,UK,Cambridge,Trinity College,O.9.9 (1421),,,,,,,,https://mss-cat.trin.cam.ac.uk/Manuscript/O.9.9,https://mss-cat.trin.cam.ac.uk/Manuscript/O.9.9/UV
CamTCC432,UK,Cambridge,Trinity College,R.1.15 (432),,,,,,,,https://mss-cat.trin.cam.ac.uk/Manuscript/R.1.15,
TCCFragment,UK,Cambridge,Trinity College,R.11.2,"formerly MS Fragments, Box 2",,,,,,,https://mss-cat.trin.cam.ac.uk/Manuscript/R.11.2,https://mss-cat.trin.cam.ac.uk/Manuscript/R.11.2/UV
CamTCC899,UK,Cambridge,Trinity College,R.14.26 (899),,,,,,,,https://mss-cat.trin.cam.ac.uk/Manuscript/R.14.26,https://mss-cat.trin.cam.ac.uk/Manuscript/R.14.26/UV
CamTCC902,UK,Cambridge,Trinity College,R.14.29 (902),,,,,,,,https://mss-cat.trin.cam.ac.uk/Manuscript/R.14.29,https://mss-cat.trin.cam.ac.uk/Manuscript/R.14.29/UV
CamTCC905,UK,Cambridge,Trinity College,R.14.32 (905),,,,,,,,https://mss-cat.trin.cam.ac.uk/Manuscript/R.14.32,https://mss-cat.trin.cam.ac.uk/Manuscript/R.14.32/UV
CamTCC910,UK,Cambridge,Trinity College,R.14.38 (910),,,,,,,,https://mss-cat.trin.cam.ac.uk/Manuscript/R.14.38,https://mss-cat.trin.cam.ac.uk/Manuscript/R.14.38/UV
CamTCC911,UK,Cambridge,Trinity College,R.14.39 (911),,,,,,,,https://mss-cat.trin.cam.ac.uk/Manuscript/R.14.39,https://mss-cat.trin.cam.ac.uk/Manuscript/R.14.39/UV
CamTCC913,UK,Cambridge,Trinity College,R.14.41 (913),,,,,,,,https://mss-cat.trin.cam.ac.uk/Manuscript/R.14.41,https://mss-cat.trin.cam.ac.uk/Manuscript/R.14.41/UV
CamTCC915,UK,Cambridge,Trinity College,R.14.44 (915),,,,,,,,https://mss-cat.trin.cam.ac.uk/Manuscript/R.14.44,https://mss-cat.trin.cam.ac.uk/Manuscript/R.14.44/UV
CamTCC916,UK,Cambridge,Trinity College,R.14.45 (916),,,,,,,,https://mss-cat.trin.cam.ac.uk/Manuscript/R.14.45,https://mss-cat.trin.cam.ac.uk/Manuscript/R.14.45/UV#?c=0&m=0&s=0&cv=0
CamTCC921,UK,Cambridge,Trinity College,R.14.51 (921),,,,,,,,https://mss-cat.trin.cam.ac.uk/Manuscript/R.14.51,https://mss-cat.trin.cam.ac.uk/Manuscript/R.14.51/UV#?c=0&m=0&s=0&cv=0
CamTCC925,UK,Cambridge,Trinity College,R.14.56 (925),,,,,,,,https://mss-cat.trin.cam.ac.uk/Manuscript/R.14.56,https://mss-cat.trin.cam.ac.uk/Manuscript/R.14.56/UV
CamTCC536,UK,Cambridge,Trinity College,R.2.36 (536),,,,,,,,https://mss-cat.trin.cam.ac.uk/Manuscript/R.2.36,
CamTCC559,UK,Cambridge,Trinity College,R.2.59 (559),,,,,,,,https://mss-cat.trin.cam.ac.uk/Manuscript/R.2.59,
CamTCCR264,UK,Cambridge,Trinity College,R.2.64,olim W. Aldis Wright; olim Le Neve (Norroy),,,,,,Not in James,https://mss-cat.trin.cam.ac.uk/Manuscript/R.2.64,https://mss-cat.trin.cam.ac.uk/Manuscript/R.2.64/UV#?c=0&m=0&s=0&cv=0&r=0
CamTCC593,UK,Cambridge,Trinity College,R.3.13 (593),,,,,,,,https://mss-cat.trin.cam.ac.uk/Manuscript/R.3.13,https://mss-cat.trin.cam.ac.uk/Manuscript/R.3.13/UV
CamTCC594,UK,Cambridge,Trinity College,R.3.14 (594),,,,,,,,https://mss-cat.trin.cam.ac.uk/Manuscript/R.3.14,https://mss-cat.trin.cam.ac.uk/Manuscript/R.3.14/UV
CamTCC595,UK,Cambridge,Trinity College,R.3.15 (595),,,,,,,,https://mss-cat.trin.cam.ac.uk/Manuscript/R.3.15,https://mss-cat.trin.cam.ac.uk/Manuscript/R.3.15/UV
CamTCC597,UK,Cambridge,Trinity College,R.3.17 (597),,,,,,,,https://mss-cat.trin.cam.ac.uk/Manuscript/R.3.17,https://mss-cat.trin.cam.ac.uk/Manuscript/R.3.17/UV#?c=0&m=0&s=0&cv=0&r=0&xywh=-4893%2C0%2C13756%2C5394
CamTCC599,UK,Cambridge,Trinity College,R.3.19 (599),,,,,,,,https://mss-cat.trin.cam.ac.uk/Manuscript/R.3.19,https://mss-cat.trin.cam.ac.uk/Manuscript/R.3.19/UV
CamTCC581,UK,Cambridge,Trinity College,R.3.2 (581),,,,,,,,https://mss-cat.trin.cam.ac.uk/Manuscript/R.3.2,https://mss-cat.trin.cam.ac.uk/Manuscript/R.3.2/UV
CamTCC600,UK,Cambridge,Trinity College,R.3.20 (600),,,,,,,,https://mss-cat.trin.cam.ac.uk/Manuscript/R.3.20,https://mss-cat.trin.cam.ac.uk/Manuscript/R.3.20/UV
CamTCC601,UK,Cambridge,Trinity College,R.3.21 (601),,,,,,,,https://mss-cat.trin.cam.ac.uk/Manuscript/R.3.21,https://mss-cat.trin.cam.ac.uk/Manuscript/R.3.21/UV
CamTCC602,UK,Cambridge,Trinity College,R.3.22 (602),,,,,,,,https://mss-cat.trin.cam.ac.uk/Manuscript/R.3.22,https://mss-cat.trin.cam.ac.uk/Manuscript/R.3.22/UV
CamTCC603,UK,Cambridge,Trinity College,R.3.23 (603),,,,,,,,https://mss-cat.trin.cam.ac.uk/Manuscript/R.3.23,https://mss-cat.trin.cam.ac.uk/Manuscript/R.3.23/UV
CamTCC605,UK,Cambridge,Trinity College,R.3.25 (605),,,,,,,,https://mss-cat.trin.cam.ac.uk/Manuscript/R.3.25 ,https://mss-cat.trin.cam.ac.uk/Manuscript/R.3.25/UV
CamTCC582,UK,Cambridge,Trinity College,R.3.3 (582),,,,,,,,https://mss-cat.trin.cam.ac.uk/Manuscript/R.3.3,https://mss-cat.trin.cam.ac.uk/Manuscript/R.3.3/UV
CamTCC588,UK,Cambridge,Trinity College,R.3.8 (588),,,,,,,,https://mss-cat.trin.cam.ac.uk/Manuscript/R.3.8,https://mss-cat.trin.cam.ac.uk/Manuscript/R.3.8/UV
CamTCC652,UK,Cambridge,Trinity College,R.4.20 (652),,,,,,,,https://mss-cat.trin.cam.ac.uk/Manuscript/R.4.20,https://mss-cat.trin.cam.ac.uk/Manuscript/R.4.20/UV
CamTCC655,UK,Cambridge,Trinity College,R.4.26 (655),,,,,,,,https://mss-cat.trin.cam.ac.uk/Manuscript/R.4.26,https://mss-cat.trin.cam.ac.uk/Manuscript/R.4.26/UV
CamTCC731,UK,Cambridge,Trinity College,R.5.43 (731),,,,,,,,https://mss-cat.trin.cam.ac.uk/Manuscript/R.5.43 ,https://mss-cat.trin.cam.ac.uk/Manuscript/R.5.43/UV
CamTCC759,UK,Cambridge,Trinity College,R.7.23 (759),,,,,,,,https://mss-cat.trin.cam.ac.uk/Manuscript/R.7.23 ,https://mss-cat.trin.cam.ac.uk/Manuscript/R.7.23/UV
CamTCCfrag,UK,Cambridge,Trinity College,uncatalogued,,,,binding fragments,,,,,
CamTCCVI182,UK,Cambridge,Trinity College,VI.18.2,,,,Printed book (STC 6826),,,,https://mss-cat.trin.cam.ac.uk/Manuscript/B.11.1,
CamTH16,UK,Cambridge,Trinity Hall,shelf no (16),,,,,,,,https://www.trinhall.cam.ac.uk/manuscripts/cibus-anime/,https://cudl.lib.cam.ac.uk/view/MS-TRINITYHALL-00016/1
CULInc5J12,UK,Cambridge,University Library,Inc. 5. J. 1. 2. (3569),,,,Printed book (STC 17032a),,,,https://idiscover.lib.cam.ac.uk/permalink/44CAM_INST/c1j9q5/alma9948298293403606,
CantAdd46,UK,Canterbury,Canterbury Cathedral Library,Addit. 46,,,,,,,,,
CantAdd68,UK,Canterbury,Canterbury Cathedral Library,Addit. 68,olim Ingilby,,,,,,,,
CantLetters173,UK,Canterbury,Canterbury Cathedral Library,"CCA-DCc-ChCh Letterbook II, 173",,,,,,,,,
CantLetters174,UK,Canterbury,Canterbury Cathedral Library,"CCA-DCc-ChCh Letterbook II, 174",,,,,,,,,
CantM251,UK,Canterbury,Canterbury Cathedral Library,Charta Antiqua M 251,,,,,,,,,
CantB2,UK,Canterbury,Canterbury Cathedral Library,Lit. B.2,formerly Y.10.16,,,,,,,,
CantLitD13,UK,Canterbury,Canterbury Cathedral Library,Lit. D.13,,,,,,,,,
CantLitD14,UK,Canterbury,Canterbury Cathedral Library,Lit. D.14,,,,,,,,,
CantRegJ,UK,Canterbury,Canterbury Cathedral Library,Register J,,,,,,,,,
CantFrag,UK,Canterbury,Canterbury Cathedral Library,Register O,,,,,,,,,
CantRegP,UK,Canterbury,Canterbury Cathedral Library,Register P,,,,,,,,,
Cardiff3174,UK,Cardiff,Cardiff Public Library,MS 3.174,,,,,,,,,
Cardiff544,UK,Cardiff,Cardiff Public Library,MS 5.44,,,,,,,,,
ChesRecOffddx123,UK,Chester,Cheshire County Records Office,DDX 123,,,,,,,,https://catalogue.cheshirearchives.org.uk/records/DDX_123,
ChesRecOffdcc371,UK,Chester,Cheshire County Records Office,MS DCC 37/1,,,,,,,,,
ChesterCoopers,UK,Chester,Chester Company of Coopers,Enrollment Book,,,,,,,,,
Chichester,UK,Chichester,West Sussex Record Office,Cowfold Churchwarden's Accounts,,,,,,,,,
CovAcc3251,UK,Coventry,Coventry Archives,Acc. 325/1,,,,,,,,,
CovAcc351,UK,Coventry,Coventry Archives,Acc. 351,,,,,,,,,
CovLeet,UK,Coventry,Coventry Archives,"Leet Book, BA/E/F/37/1",,,,,,,,,
CovArc111,UK,Coventry,Coventry Archives,PA 11/1,,,Robert Croo manuscript fragments,,,,,,
CovArc112,UK,Coventry,Coventry Archives,PA 11/2,,,Robert Croo manuscript,,,,,,
Sharp,UK,Coventry,MS formerly owned by Thomas Sharp,none,,,,,,Burned in 1879,,,
Chats,UK,Derbyshire,Chatsworth House,,,,Devonshire Fragment,,,,,,
CinqPortsCPB1,UK,Dover,East Kent Archives Centre,Cinq Ports Corporation CP/B/1,,,The White Book,,,,,https://www.kentarchives.org.uk/collections/getrecord/GB51_CP_B_1,
DurChComm,UK,Durham,"Durham Bishopric Records, Church Commission",220201/2,,,,,,on deposit in Durham University Library,,,
DurArchDun60,UK,Durham,Durham Cathedral Dean and Chapter Archives,Archid. Dunelm. 60,,,,,,,,,
DurArchReg4,UK,Durham,Durham Cathedral Dean and Chapter Archives,Registrum Parvum IV,olim Prior's Kitchen,,,,,,,https://reed.dur.ac.uk/xtf/view?docId=ark/32150_s1qj72p718p.xml,https://iiif.durham.ac.uk/index.html?manifest=t2mnv935284m
DurCathA312,UK,Durham,Durham Cathedral Library,A.III.12,,,,,,,,https://reed.dur.ac.uk/xtf/view?docId=ark/32150_s1pr76f348c.xml,https://iiif.durham.ac.uk/index.html?manifest=t1m9593tv186
DurCathA425,UK,Durham,Durham Cathedral Library,A.IV.25,,,,,,,,https://reed.dur.ac.uk/xtf/view?docId=ark/32150_s1f1881k965.xml,
DurCathBI18,UK,Durham,Durham Cathedral Library,B.I.18,,,,,,,,https://reed.dur.ac.uk/xtf/view?docId=ark/32150_s1f1881k965.xml,
DurCathB334,UK,Durham,Durham Cathedral Library,B.III.34,,,,,,,,https://reed.dur.ac.uk/xtf/view?docId=ark/32150_s1f1881k965.xml,
DurCathB419,UK,Durham,Durham Cathedral Library,B.IV.19,,,,,,,,https://reed.dur.ac.uk/xtf/view?docId=ark/32150_s1f1881k965.xml,
DULBamSel13,UK,Durham,Durham University Library,Bamburgh Sel 13.,,,,"printed book; Higden's Polychronicon, trans. Trevisa, 1495",,,,,
DULCosVi12,UK,Durham,Durham University Library,Cosin V.i.12,,,,,,,,https://reed.dur.ac.uk/xtf/view?docId=ark/32150_s1jd472w557.xml;query=cosin%20v.i.12#1,https://iiif.durham.ac.uk/index.html?manifest=t2msx61dn21d
DULCosVi2,UK,Durham,Durham University Library,Cosin V.i.2,,,,,,,,https://reed.dur.ac.uk/xtf/view?docId=ark/32150_s20g354f24z.xml;query=cosin%20v.i.2#1,
DULCosVi9,UK,Durham,Durham University Library,Cosin V.i.9,,,,,,,,https://reed.dur.ac.uk/xtf/view?docId=ark/32150_s20g354f23m.xml;query=cosin%20v.i.9#1,https://iiif.durham.ac.uk/index.html?manifest=t1mf1881m230
DULCosVii13,UK,Durham,Durham University Library,Cosin V.ii.13,,,,,,,,https://reed.dur.ac.uk/xtf/view?docId=ark/32150_s1js956f92s.xml;query=cosin%20v.ii.13#1,https://iiif.durham.ac.uk/index.html?manifest=t2m7s75dc82n
DULCosVii14,UK,Durham,Durham University Library,Cosin V.ii.14,,,,,,,,https://reed.dur.ac.uk/xtf/view?docId=ark/32150_s1kp78gg42d.xml;query=cosin%20v.ii.14#1,https://iiif.durham.ac.uk/index.html?manifest=t2mjm214p80v
DULCosVii15,UK,Durham,Durham University Library,Cosin V.ii.15,,,,,,,,https://reed.dur.ac.uk/xtf/view?docId=ark/32150_s1wh246s21j.xml;query=cosin%20v.ii.15#1,https://iiif.durham.ac.uk/index.html?manifest=t2mzw12z585s
DULCosVii16,UK,Durham,Durham University Library,Cosin V.ii.16,,,,,,,,https://reed.dur.ac.uk/xtf/view?docId=ark/32150_s13n203z22w.xml;query=cosin%20v.ii.16#1,
DULCosVii8,UK,Durham,Durham University Library,Cosin V.ii.8,,,,,,,,https://reed.dur.ac.uk/xtf/view?docId=ark/32150_s2kp78gg36j.xml;query=cosin%20v.ii.8#1,https://iiif.durham.ac.uk/index.html?manifest=t2m47429964r
DULCosViii10,UK,Durham,Durham University Library,Cosin V.iii.10,,,,,,,,https://reed.dur.ac.uk/xtf/view?docId=ark/32150_s1t435gd05v.xml;query=cosin%20v.iii.10#1,https://iiif.durham.ac.uk/index.html?manifest=t1mft848r54k
DULCosViii11,UK,Durham,Durham University Library,Cosin V.iii.11,,,,,,,,https://reed.dur.ac.uk/xtf/view?docId=ark/32150_s10c483j42s.xml;query=cosin%20v.iii.11#1,https://iiif.durham.ac.uk/index.html?manifest=t1mf7623d04j
DULCosViii2,UK,Durham,Durham University Library,Cosin V.iii.2,,,,,,,,https://reed.dur.ac.uk/xtf/view?docId=ark/32150_s1cf95jb589.xml;query=cosin%20v.iii.2#1,
DULCosViii24,UK,Durham,Durham University Library,Cosin V.iii.24,,,,,,,,https://reed.dur.ac.uk/xtf/view?docId=ark/32150_s25425k9735.xml;query=cosin%20v.iii.24#1,https://iiif.durham.ac.uk/index.html?manifest=t2mnv935354w
DULCosViii5,UK,Durham,Durham University Library,Cosin V.iii.5,,,,,,,,https://reed.dur.ac.uk/xtf/view?docId=ark/32150_s2kk91fk55w.xml;query=cosin%20v.iii.5#1,https://iiif.durham.ac.uk/index.html?manifest=t1mxk81jm022
DULCosViii9,UK,Durham,Durham University Library,Cosin V.iii.9,,,,,,,,https://reed.dur.ac.uk/xtf/view?docId=ark/32150_s1sq87bt74j.xml;query=cosin%20v.iii.9#1,https://iiif.durham.ac.uk/index.html?manifest=t2m2j62s5417
DULCosViv2,UK,Durham,Durham University Library,Cosin V.iv.2,,,,,,,,https://reed.dur.ac.uk/xtf/view?docId=ark/32150_s2gt54kn02d.xml;query=cosin%20v.iv.2#1,https://iiif.durham.ac.uk/index.html?manifest=t1mxk81jm09q
DULCosViv4,UK,Durham,Durham University Library,Cosin V.iv.4,,,,,,,,https://reed.dur.ac.uk/xtf/view?docId=ark/32150_s22514nk510.xml;query=cosin%20v.iv.4#1,
DULCosVv12,UK,Durham,Durham University Library,Cosin V.v.12,,,,,,,,https://reed.dur.ac.uk/xtf/view?docId=ark/32150_s21v53jx02z.xml;query=cosin%20v.v.12#1,
DULCosVv15,UK,Durham,Durham University Library,Cosin V.v.15,,,,,,,,https://reed.dur.ac.uk/xtf/view?docId=ark/32150_s2sn009x78g.xml;query=cosin%20v.v.15#1,
DULCosVv19,UK,Durham,Durham University Library,Cosin V.v.19,,,,,,,,https://reed.dur.ac.uk/xtf/view?docId=ark/32150_s2jd472w481.xml;query=cosin%20v.v.19#1,
EDU27,UK,Edinburgh,Edinburgh University Library,27,,,,,,,,https://archives.collections.ed.ac.uk/repositories/2/archival_objects/140936,
EDU42,UK,Edinburgh,Edinburgh University Library,42,,,,,,,,https://archives.collections.ed.ac.uk/repositories/2/digital_objects/206,
EDU82,UK,Edinburgh,Edinburgh University Library,82,,,,,,,,https://archives.collections.ed.ac.uk/repositories/2/archival_objects/145417,
EDU107,UK,Edinburgh,Edinburgh University Library,107,,,,,,,,https://archives.collections.ed.ac.uk/repositories/2/archival_objects/168764,
EDU114,UK,Edinburgh,Edinburgh University Library,114,,,,,,,,https://archives.collections.ed.ac.uk/repositories/2/archival_objects/176895,
EDU186,UK,Edinburgh,Edinburgh University Library,186,,,,,,,,https://archives.collections.ed.ac.uk/repositories/2/archival_objects/160592,
